song_name,cleaned_artists,popularity
Sooner Or Later,Breaking Benjamin,52
Get Back,Ludacris,55
Nobody's Home,Avril Lavigne,59
I Just Wanna Live,Good Charlotte,57
Gasolina,Daddy Yankee,75
Trying To Find Atlantis,Jamie O'Neal,28
Piggy Bank,50 Cent,49
Why Do You Love Me,Garbage,36
The Widow,The Mars Volta,47
Awful Beautiful Life,Darryl Worley,14
Let's Get Blown,Snoop Dogg,46
Monday Morning Church,Alan Jackson,30
I'm Not Okay (I Promise),My Chemical Romance,70
Nothin' Bout Love Makes Sense,LeAnn Rimes,28
N Dey Say,Nelly,23
Some Beach,Blake Shelton,59
Home,Three Days Grace,54
Welcome to My Life,Simple Plan,65
Shut Up!,Simple Plan,53
La La,Ashlee Simpson,41
He Gets That From Me,Reba McEntire,39
What You Waiting For?,Gwen Stefani,52
Lose My Breath,Destiny's Child,55
Landed,Ben Folds,41
We Will Become Silhouettes,The Postal Service,35
Encore,The Karaoke Channel,0
Back When,Tim McGraw,37
Vertigo,U2,60
When I Think About Cheatin',Gretchen Wilson,38
Shorty Wanna Ride,Young Buck,57
Pain,Jimmy Eat World,57
Tempted To Touch,Rupee,56
Dare You to Move,Switchfoot,55
Just Lose It,Eminem,61
Holy Water,Big & Rich,38
One Thing,Vitamin String Quartet,2
How Am I Doin',Dierks Bentley,41
Fall to Pieces,Velvet Revolver,59
Getting Away With Murder,Papa Roach,53
The Woman with You,Kenny Chesney,43
Vitamin R (Leading Us Along),Chevelle,55
Balla Baby,Chingy,33
Perdidos,Monchy & Alexandra,46
Take Me Home,"['Armageddon', 'Dre', 'Fat Joe', 'Terror Squad', 'Remy']",43
I'll Be Around,"['Daryl Hall', 'John Oates']",34
Ghetto,Akon,50
Charlene,Anthony Hamilton,55
On the Way Down,Ryan Cabrera,46
Nothing On But The Radio,Gary Allan,55
Mr. Mom,Lonestar,56
Breathe,Fabolous,51
Lean Back,"['Remy Ma', 'Terror Squad', 'Fat Joe']",63
1985,Bowling For Soup,58
So Cold,Breaking Benjamin,42
Come Home Soon,BFM Hits,0
My Happy Ending,Avril Lavigne,66
Somebody Told Me,The Killers,70
In a Real Love,Phil Vassar,37
Cold,Crossfade,65
Nolia Clap,"Juvenile, Wacko, & Skip",37
That's What It's All About,Brooks & Dunn,36
American Idiot,Green Day,75
You're My Everything,Smooth Jazz All Stars,6
I Hate Everything,The Mick Lloyd Connection,0
Used to Love U,John Legend,52
Call My Name,Prince,35
Let's Get It Started,The Black Eyed Peas,51
Suds in the Bucket,Sara Evans,58
Just Like You,Three Days Grace,59
Heaven,Los Lonely Boys,54
The Reason,Hoobastank,73
If I Ain't Got You,Alicia Keys,77
This Love,Maroon 5,75
Breaking the Habit,Linkin Park,64
Days Go By,Keith Urban,53
Stays In Mexico,Toby Keith,42
No Problem,Lil Scrappy,53
White Tee,Dem Franchize Boyz,20
Here for the Party,Gretchen Wilson,53
Pieces Of Me,Ashlee Simpson,52
Headsprung,LL Cool J,53
King Of The Dancehall,Beenie Man,34
White Houses,Vanessa Carlton,47
If Nobody Believed in You,Audio Idols,0
Rough & Ready,Trace Adkins,41
U Saved Me,R. Kelly,32
Dip It Low,Christina Milian,38
Shadow,Ashlee Simpson,31
She Thinks She Needs Me,Andy Griggs,45
Flap Your Wings,Nelly,47
Feels Like Today,Sound Sleepers,0
Accidentally In Love,Counting Crows,63
Take Me Out,Franz Ferdinand,72
Let's Get Away,T.I.,40
Too Much of a Good Thing,Alan Jackson,31
Leave (Get Out),Jojo,48
Jesus Walks,Kanye West,65
I Go Back,Kenny Chesney,55
Confessions Part II,Burn,7
U Should've Known Better,Monica,45
Girls Lie Too,Terri Clark,12
Feelin' Way Too Damn Good,Nickelback,44
Meant to Live,Switchfoot,54
Let Me In,Young Buck,47
Away From The Sun,3 Doors Down,54
I Got A Feelin',Billy Currington,44
Float On,Modest Mouse,69
I Want To Live,Pickin' On Series,0
Break Down Here,Julie Roberts,46
Somebody,Reba McEntire,27
Freek-A-Leek,Petey Pablo,63
Slither,Velvet Revolver,61
On Fire,Lloyd Banks,57
Save a Horse (Ride a Cowboy),Big & Rich,59
Ocean Avenue,Yellowcard,71
How Come,D12,56
Everytime,Britney Spears,59
Who Is She 2 U,Brandy,39
Love Song,311,58
Whiskey Girl,Toby Keith,45
I Believe,Fantasia,42
Outrageous,Britney Spears,49
If You Ever Stop Loving Me,Montgomery Gentry,41
How Far,Martina McBride,30
Got It Twisted,Mobb Deep,36
New Day,Patti LaBelle,21
Just For You,"['Billy Currington', 'Lionel Richie']",37
Naughty Girl,Beyoncé,55
Redneck Woman,Gretchen Wilson,54
Hey Mama,The Black Eyed Peas,53
Happy People,R. Kelly,38
Welcome Back,Mase,51
Let's Be Us Again,Lonestar,36
Lying from You,Linkin Park,61
My Immortal,Evanescence,72
Here Without You,3 Doors Down,73
Don't Tell Me,Avril Lavigne,56
Cold Hard Bitch,Jet,58
Overnight Celebrity,Twista,57
Everything,Alanis Morissette,43
8th World Wonder,Kimberley Locke,30
Roses,OutKast,70
Someday,Nickelback,65
Letters from Home,John Michael Montgomery,57
I Miss You,blink-182,71
Ch-Check It Out,Beastie Boys,53
Diamond In The Back,Ludacris,38
Don't Take Your Love Away,Avant,35
99 Problems,JAY Z,39
Dirt Off Your Shoulder,Can You Flow?,18
Take My Breath Away,Jessica Simpson,43
Paint Me a Birmingham,Tracy Lawrence,58
My Band,D12,66
Whoknows,Musiq Soulchild,30
100 Years,Five For Fighting,64
That's What She Gets for Loving Me,Brooks & Dunn,34
Love's Divine,Seal,46
You Raise Me Up,Josh Groban,58
When the Sun Goes Down,The Karaoke Channel,0
Mayberry,Hushabye Baby,11
Where Are We Runnin'?,Lenny Kravitz,47
Passenger Seat,BFM Hits,0
You're the Only One,Maria Mena,33
I Can't Sleep,Ameritz Tribute Tracks,0
The First Cut Is The Deepest,Sheryl Crow,49
White Flag,Dido,65
You’ll Think Of Me,Keith Urban,43
Desperately,George Strait,26
Sweet Southern Comfort,Buddy Jewell,49
Last One Standing,Emerson Drive,26
Hole In The Head,Sugababes,50
It Only Hurts When I'm Breathing,Shania Twain,28
The Outsider,A Perfect Circle,62
Toxic,Britney Spears,76
Figured You Out,Nickelback,55
Are You Gonna Be My Girl,Jet,73
I Want You,Janet Jackson,36
Last Train Home,lostprophets,46
I'm Ready,Cherie,18
Maps,Yeah Yeah Yeahs,63
With You,Jessica Simpson,56
Perfect,Sara Evans,25
Splash Waterfalls,Ludacris,48
Hey Ya!,OutKast,76
Rubber Band Man,T.I.,51
Solitaire,Clay Aiken,10
Come Clean,White Knight Instrumental,0
Sorry 2004,Ruben Studdard,36
Simple Life,Carolyn Dawn Johnson,12
Megalomaniac,Incubus,35
Good Little Girls,Blue County,19
Behind Blue Eyes,Limp Bizkit,70
It's My Life,No Doubt,56
American Soldier,Toby Keith,58
Songs About Rain,Gary Allan,48
When I Look to the Sky,Train,46
Falls On Me,Fuel,45
What's It Like,Jagged Edge,38
Bounce,White Knight Instrumental,0
Little Moments,Brad Paisley,50
I Am the Highway,Audioslave,65
In My Daughter's Eyes,Martina McBride,42
F.U.R.B. (F U Right Back),Frankee,40
I Love You This Much,Jimmy Wayne,32
"Me, Myself and I",Beyoncé,56
Remember When,Alan Jackson,61
Watch The Wind Blow By,Tim McGraw,42
Wild West Show,Big & Rich,36
I Wanna Do It All,Terri Clark,39
Hot Mama,Trace Adkins,40
Baby I Love U!,Jennifer Lopez,38
Through The Wire,Kanye West,67
Neva Eva,Trillville,11
I'm Really Hot,Missy Elliott,35
Gal Yuh Ah Lead,T.O.K.,11
Long Black Train,Josh Turner,58
I Hate Everything About You,Three Days Grace,71
More & More,Joe,41
I Can Only Imagine,MercyMe,52
Invisible,Clay Aiken,39
Read Your Mind,Avant,55
You Don't Know My Name,Alicia Keys,58
Unwell,Matchbox Twenty,60
Just A Little While,Janet Jackson,27
Alone,Lasgo,43
Pull Up,Mr. Vegas,17
Still Frame,Trapt,48
Hit That,The Offspring,58
There Goes My Life,Kenny Chesney,54
You Can't Take the Honky Tonk out of the Girl,Brooks & Dunn,40
Hell Yeah,Montgomery Gentry,43
Fallen,Sarah McLachlan,27
Perfect,Simple Plan,66
Hold On,Good Charlotte,46
The Voice Within,Christina Aguilera,54
Change Clothes,Déjà Vu,5
Drinkin' Bone,Tracy Byrd,60
Walked Outta Heaven,Jagged Edge,52
Breathe,Michelle Branch,52
Something Happened on the Way to Heaven,Deborah Cox,22
Away From Me,Puddle Of Mudd,43
Slow,Kylie Minogue,46
Milkshake,Kelis,64
Stunt 101,G-Unit,55
Forthenight,"['Aaries', 'Musiq Soulchild']",35
She's Not Just A Pretty Face,Shania Twain,32
Step In the Name of Love,R. Kelly,38
Bright Lights,Matchbox Twenty,52
Headstrong,Trapt,71
I Wish,Jo Dee Messina,21
Fallen,Mýa,53
Love You More,Ginuwine,42
So Far Away,Staind,64
Honesty (Write Me A List),Rodney Atkins,27
Cowboys Like Us,George Strait,48
Chicks Dig It,Ameritz Tribute Tracks,0
Why Can't I?,Liz Phair,58
(There's Gotta Be) More To Life,Stacie Orrico,53
Stacy's Mom,Fountains Of Wayne,72
Knock Knock,Monica,36
Weak And Powerless,A Perfect Circle,56
Another Postcard (Chimps),The Karaoke Channel,0
Pass That Dutch,Missy Elliott,42
Harder To Breathe,Maroon 5,63
I Love This Bar,Toby Keith,61
Walking In Memphis,Lonestar,52
Rain On Me,Ashanti,40
Wave on Wave,Pat Green,55
Bigger Than My Body,John Mayer,59
I Melt,Sound Sleepers,0
Tough Little Boys,Gary Allan,29
One More Chance,Michael Jackson,39
Right Thurr,Chingy,66
Who Wouldn't Wanna Be Me,Keith Urban,48
Show Me How to Live,Audioslave,69
Clap Back,Ja Rule,56
So Yesterday,Hilary Duff,34
"Can't Stop, Won't Stop","['Chingy', 'Young Gunz']",42
Amazing,Josh Kelley,25
Take Me Away,Fefe Dobson,16
Bad Boy This Bad Boy That,Bad Boy's Da Band,32
This One's for the Girls,Martina McBride,55
I Need You Now,Smokie Norful,48
Calling All Angels,Train,57
Faint,Linkin Park,66
Waiting for You,Seal,25
Find A Way,Dwele,43
Where Is The Love?,The Black Eyed Peas,73
Thoia Thoing,R. Kelly,41
Naggin',Ying Yang Twins,39
Walk A Little Straighter,Billy Currington,37
Low,Kelly Clarkson,13
Officially Missing You,Tamia,49
Real Good Man,Tim McGraw,50
If I Can't,50 Cent,61
The Boys of Summer,The Ataris,65
Ooh!,Mary J. Blige,17
P.I.M.P.,50 Cent,70
This Is How We Do,Big Tymers,46
Pon De River Pon De Bank,Elephant Man,49
Got Some Teeth,Obie Trice,45
The Remedy (I Won't Worry),Jason Mraz,61
It's Five O'Clock Somewhere,"['Jimmy Buffett', 'Alan Jackson']",6
My Love Is Like...Wo,Mýa,21
Dance With My Father,"['The City of Prague Philharmonic Orchestra', 'Luther Vandross', 'Richard Hein', 'Joe McElderry', 'James Fitzpatrick']",27
Trouble,P!nk,50
What Was I Thinkin',Dierks Bentley,64
Help Pour Out the Rain (Lacey's Song),Buddy Jewell,38
Addicted,Simple Plan,62
Hole in the World,Eagles,32
Danger,Erykah Badu,40
A Few Questions,Ameritz Tribute Tracks,6
Forever And For Always,Shania Twain,45
In Those Jeans,Ginuwine,60
Celebrity,Brad Paisley,43
Signs of Love Makin',Tyrese,51
Lovin' All Night,Patty Loveless,11
Like Glue,Sean Paul,60
Crazy,Javier,29
Are You Happy Now?,Michelle Branch,48
Red Dirt Road,Brooks & Dunn,61
Where The Hood At,DMX,63
Did My Time,Korn,52
This Is The Night,Clay Aiken,17
Then They Do,Midday Sun,0
Rest In Pieces,Saliva,28
Seven Nation Army,The White Stripes,76
Rubberneckin',Elvis Presley,37
Miss Independent,Kelly Clarkson,32
Rock Wit U (Awww Baby),Ashanti,62
When I'm Gone,3 Doors Down,67
Get Busy,Sean Paul,70
So Gone,Monica,61
Intuition,Jewel,41
Send the Pain Below,Chevelle,62
Just Because,Jane's Addiction,51
Roun' the Globe,Nappy Roots,8
My Front Porch Looking In,Lonestar,53
I Wish I Wasn't,Heather Headley,42
She Only Smokes When She Drinks,Joe Nichols,41
Stay Gone,Jimmy Wayne,30
Flying Without Wings,Ruben Studdard,33
Almost Home,Craig Morgan,60
"Swing, Swing",The All-American Rejects,65
Stupid Girl,Cold,44
Ignition,R. Kelly,43
Don't Wanna Try,Frankie J,49
Fighter,Christina Aguilera,66
What The World Needs,Wynonna,22
Pump It Up,Joe Budden,57
Rock Your Body,Justin Timberlake,71
If You're Not The One,Daniel Bedingfield,46
Love You Out Loud,The Country Dance Kings,0
Three Wooden Crosses,Randy Travis,38
I'm Glad,Jennifer Lopez,43
Act A Fool,Ludacris,61
No Letting Go,Wayne Wonder,61
Say Yes,Floetry,55
The Love Song,Jeff Bates,34
What a Beautiful Day,Ameritz Tribute Tracks,0
In Da Club,50 Cent,74
Put That Woman First,Jaheim,55
Speed,Montgomery Gentry,43
I Believe,Diamond Rio,30
The Truth About Men,Tracy Byrd,33
Tell Me Something Bad About Tulsa,George Strait,24
Sing For The Moment,Eminem,69
Somewhere I Belong,Linkin Park,67
Have You Forgotten?,Darryl Worley,51
I Love You,Dru Hill,38
Stuck,Stacie Orrico,52
Times Like These,Foo Fighters,63
Try It On My Own,Whitney Houston,48
Raining On Sunday,Keith Urban,44
Concrete Angel,Martina McBride,47
Tal Vez,Ricky Martin,53
Like a Stone,Audioslave,73
She's My Kind Of Rain,Tim McGraw,47
I Can,Nas,56
Big Star,Kenny Chesney,47
Clocks,Coldplay,74
God Bless The U.S.A.,Stingray Music (Karaoke),0
Price to Play,Staind,39
How You Gonna Act Like That,Tyrese,58
That'd Be Alright,Alan Jackson,35
Emotional Rollercoaster,Vivian Green,42
Excuse Me Miss,JAY Z,42
Can't Stop,Red Hot Chili Peppers,78
Angel,Amanda Perez,49
Can't Stop Loving You,Phil Collins,37
I'm with You,Avril Lavigne,68
Brokenheartsville,Joe Nichols,53
The Anthem,Good Charlotte,71
Straight Out Of Line,Godsmack,44
Peacekeeper,Fleetwood Mac,50
Losing Grip,Avril Lavigne,56
Girlfriend,B2K,44
Get By,Talib Kweli,54
Step Daddy,Hitman Sammy Sam,21
Beautiful,Christina Aguilera,69
American Life,Madonna,43
Pimp Juice,Nelly,47
Girl All the Bad Guys Want,Bowling For Soup,60
X Gon' Give It To Ya,DMX,75
Your Body Is a Wonderland,John Mayer,75
Man To Man,Pickin' On Series,0
Superman,"['Dina Rae', 'Eminem']",69
All The Things She Said,t.A.T.u.,66
No One Knows,Queens of the Stone Age,69
Fine Again,Seether,60
No One's Gonna Change You,Reina,23
I Drove All Night,Céline Dion,55
Cry Me a River,Justin Timberlake,73
Soldier's Heart,Tune Robbers,0
I'd Do Anything,Simple Plan,58
Running,No Doubt,35
Don't Know Why,Norah Jones,71
Sick Of Being Lonely,Field Mob,43
Blowin' Me Up (With Her Love),JC Chasez,31
Always,Saliva,50
Don't Dream It's Over,Sixpence None The Richer,59
Lifestyles of the Rich & Famous,Good Charlotte,67
Damaged,TLC,36
The Baby,Blake Shelton,42
That Girl,Marques Houston,39
You Can't Hide Beautiful,Aaron Lines,27
Wanksta,50 Cent,32
The Red,Chevelle,67
Rock You Baby,Toby Keith,26
Landslide,Dixie Chicks,66
19 Somethin',Mark Wills,26
Travelin' Soldier,Dixie Chicks,56
Fall Into Me,Ameritz Tribute Standards,0
The Wreckoning,Boomkat,24
Family Portrait,P!nk,53
I Should Be...,Dru Hill,38
I Just Wanna Be Mad,Terri Clark,41
Beautiful Goodbye,Jennifer Hanson,12
Chrome,Trace Adkins,40
One Of Those Days,Whitney Houston,44
I Wish You'd Stay,Brad Paisley,34
She Hates Me,Puddle Of Mudd,68
All My Life,Foo Fighters,70
In a Little While,Uncle Kracker,41
Something,Lasgo,60
Made You Look,Nas,51
Satisfaction,Eve,41
Bother,Stone Sour,64
Lose Yourself,Eminem,57
Through The Rain,Mariah Carey,50
A Lot of Things Different,Kenny Chesney,35
I'd Rather,Luther Vandross,56
Dontchange,Smooth Jazz All Stars,0
Disease,Matchbox Twenty,47
You Know You're Right,Nirvana,58
I'm Gonna Getcha Good,Shania Twain,48
Breathe,"['Angela McCluskey', 'Télépopmusik']",59
Cochise,Audioslave,66
He Is,Heather Headley,33
Cry,Faith Hill,39
Red Rag Top,White Knight Instrumental,0
Unusually Unusual,Lonestar,11
She'll Leave You With A Smile,George Strait,31
These Days,Sound Sleepers,2
Who's Your Daddy?,Toby Keith,48
Spin,Lifehouse,38
Prayer,Disturbed,53
Stole,Kelly Rowland,47
Rock the Party,Benzino,31
The Zephyr Song,Red Hot Chili Peppers,66
My Town,Montgomery Gentry,52
Die Another Day,Madonna,51
When the Last Time,Clipse,46
A Moment Like This,Kelly Clarkson,39
Come into My World,Kylie Minogue,35
One Last Breath,Creed,67
Gimme the Light,Sean Paul,57
Sk8er Boi,Avril Lavigne,74
Luv U Better,LL Cool J,49
Like I Love You,Justin Timberlake,60
Goodbye to You,Michelle Branch,54
From Tha Chuuuch To Da Palace,"['Snoop Dogg', 'Pharrell Williams']",33
Single For The Rest Of My Life,Isyss,27
I Care 4 U,Aaliyah,32
Somewhere Out There,Our Lady Peace,53
These Are the Days,Ameritz Tribute Standards,1
Every River,"['The Tribute Co.', 'The Hit Co., The Tribute Co.']",0
Complicated,Avril Lavigne,76
Somebody Like You,Keith Urban,65
Aerials,System Of A Down,71
Work In Progress,Alan Jackson,31
Baby,Ashanti,53
Beautiful Mess,Diamond Rio,57
Ordinary Day,Vanessa Carlton,50
Where Would You Be,Martina McBride,31
Little Things,Afterhours,0
Stingy,Ginuwine,44
Cleanin' Out My Closet,Eminem,68
A Thousand Miles,Vanessa Carlton,75
The Ketchup Song (Hey Hah),Las Kala,32
Forgive,Rebecca Lynn Howard,31
I Am Mine,Pearl Jam,57
American Child,Phil Vassar,24
Braid My Hair,Mario,38
Flake,Jack Johnson,61
I Keep Looking,Sara Evans,26
Why I Love You,B2K,37
Just Like a Pill,P!nk,65
Running Away,Hoobastank,49
Ten Rounds With Jose Cuervo,Pickin' On Series,0
Unbroken,Tim McGraw,34
No Such Thing,John Mayer,64
Downfall,TRUSTcompany,55
The One You Love,Paulina Rubio,20
Electrical Storm,U2,35
Nothin',N.O.R.E.,50
Happy,Ashanti,57
Long Time Gone,Dixie Chicks,49
Objection (Tango),Shakira,51
Sweetness,Jimmy Eat World,65
Hot In Herre,Nelly,70
Soak Up The Sun,Sheryl Crow,47
The Middle,Jimmy Eat World,76
Where Are You Going,Dave Matthews Band,39
By the Way,Red Hot Chili Peppers,71
I Miss My Friend,Darryl Worley,32
When You Lie Next To Me,Kellie Coffey,31
The Impossible,Joe Nichols,42
The Good Stuff,Kenny Chesney,52
"Courtesy Of The Red, White And Blue (The Angry American)",Toby Keith,65
She Was,Mark Chesnutt,26
Big Machine,The Goo Goo Dolls,43
My Friends Over You,New Found Glory,61
Love at First Sight,Kylie Minogue,52
Steve McQueen,Sheryl Crow,30
Why Don't We Fall in Love,Amerie,54
The Rising,Bruce Springsteen,52
Grindin',Clipse,54
Walking Away,Craig David,58
Drift & Die,Puddle Of Mudd Tribute,0
She Loves Me Not,Papa Roach,57
Call Me,Tweet,40
I've Got You,Tune Robbers,0
Hate To Say I Told You So,The Hives,65
The One,Gary Allan,33
Put Me Down,Donell Jones,36
Still Fly,Big Tymers,60
Foolish,Ashanti,69
Without Me,Eminem,80
Days Go By,Dirty Vegas,47
Someone To Love You,Ruff Endz,43
Full Moon,Brandy,56
Way Of Life,Lil Wayne,33
Wherever You Will Go,The Calling,70
I'm Gonna Miss Her (Fishin' Song),"['Brad Davis', ""Pickin' On Series""]",10
Tonight I Wanna Be Your Man,Andy Griggs,25
Halfcrazy,Musiq Soulchild,9
Blurry,Puddle Of Mudd,64
You Know That I Love You,Donell Jones,39
Whatchulookinat,Taylor Star Beat,0
All You Wanted,Michelle Branch,60
Wasting My Time,Default,60
Hella Good,No Doubt,49
Not A Day Goes By,Lonestar,43
Gots Ta Be,B2K,41
What If A Woman,Joe,34
Where Do We Go From Here,Filter,45
Living And Living Well,George Strait,43
I Don't Have to Be Me ('til Monday),The Karaoke Channel,0
My Heart Is Lost To You,Brooks & Dunn,35
Don't Say Goodbye,Paulina Rubio,37
How You Remind Me,Nickelback,76
Help Me Understand,Trace Adkins,25
Give It To Her,Tanto Metro & Devonte,41
Here to Stay,Korn,57
U Don't Have to Call,Usher,56
Here Is Gone,The Goo Goo Dolls,50
Say I Yi Yi,Ying Yang Twins,53
Don't Let Me Get Me,Ameritz - Tributes,0
Drive (For Daddy Gene),Alan Jackson,48
Underneath Your Clothes,Shakira,63
Too Bad,Nickelback,55
I Should Be Sleeping,Ameritz Tribute Tracks,2
Toxicity,System Of A Down,76
Wish I Didn't Miss You,Angie Stone,61
Awnaw,"['Nappy Roots', 'Jazze Pha']",5
More Than A Woman,Aaliyah,50
A New Day Has Come,Céline Dion,53
For You,Staind,45
One Mic,Nas,49
I Don't Want You to Go,Ameritz Tribute Standards,0
Escape,Enrique Iglesias,53
What If She's An Angel,Tommy Shane Steiner,35
That's When I Love You,Phil Vassar,40
Crawling In The Dark,Hoobastank,63
My List,Toby Keith,45
This Woman's Work,Maxwell,55
Young,Kenny Chesney,50
Oops (Oh My),Tweet,29
"I Breathe In, I Breathe Out",Chris Cagle,39
I Love You,Faith Evans,48
Hands Clean,Alanis Morissette,52
Youth of the Nation,P.O.D.,68
Can't Get You out of My Head,Kylie Minogue,69
I'm Movin' On,Sound Sleepers,2
Modern Day Bonnie and Clyde,Travis Tritt,55
Video,India.Arie,61
Uh Huh,B2K,49
How Come You Don't Call Me,Alicia Keys,48
Take A Message,Remy Shand,38
Never,Amanda Perez,29
Blessed,Martina McBride,32
The Cowboy In Me,Tim McGraw,44
Take Ya Home,Bow Wow,33
What About Us?,Brandy,40
Some Days You Gotta Dance,Dixie Chicks,39
Overprotected,The Popstar Band,0
Whoa Now,B Rich,5
Hero,Enrique Iglesias,67
Chop Suey!,System Of A Down,78
I Told Y'all,Petey Pablo,25
It's Goin' Down,"['Mike Shinoda', 'Mr. Hahn', 'X-Ecutioners']",42
My Sacrifice,Creed,68
Any Other Night,The Karaoke Channel,0
Song for the Lonely,Cher,40
Can't Fight The Moonlight,LeAnn Rimes,59
Family Affair,Mary J. Blige,69
"Lights, Camera, Action!",Mr. Cheeks,35
The Long Goodbye,Brooks & Dunn,40
U Got It Bad,Usher,68
Superman (It's Not Easy),Five For Fighting,68
No More Drama,Mary J. Blige,52
Bouncin' Back (Bumpin' Me Against the Wall),The Karaoke Channel,0
The World's Greatest,R. Kelly,47
7 Days,Craig David,69
Feel The Girl,Ms. Jade,17
Got Ur Self A...,Nas,49
Wrong Impression,Natalie Imbruglia,45
Don't You Forget It,Glenn Lewis,43
Good Morning Beautiful,Steve Holy,50
Insatiable,Darren Hayes,46
Get the Party Started,P!nk,65
"Whenever, Wherever",Shakira,70
Where Were You (When the World Stopped Turning),Alan Jackson,51
Roll Out (My Business),Déjà Vu,10
Butterflies,Michael Jackson,55
Standing Still,Jewel,46
Wrapped Around,Brad Paisley,42
In Another World,Joe Diffie,10
Break Ya Neck,Busta Rhymes,68
Brotha,Angie Stone,43
Drops Of Jupiter (Tell Me),Vitamin String Quartet,13
Alive,P.O.D.,26
Just Let Me Be In Love,Tracy Byrd,25
Defy You,The Offspring,43
A Woman's Worth,Alicia Keys,53
Run,George Strait,53
Wrapped up in You,The Country Gentlemen,33
Riding With Private Malone,David Ball,52
Let's Stay Home Tonight,Joe,32
Gone,*NSYNC,51
Where the Stars and Stripes and the Eagle Fly,Aaron Tippin,27
#1,Nelly,47
Drowning,Backstreet Boys,60
I'm Tryin',Trace Adkins,29
I Do!!,Toya,45
It's Been Awhile,Staind,63
Rock The Boat,Aaliyah,30
I Wanna Talk About Me,Toby Keith,56
Dig In,Lenny Kravitz,43
Goodbye,Jagged Edge,41
Control,Puddle Of Mudd,61
Differences,Ginuwine,67
Hanging By A Moment,Lifehouse,59
Stuck In A Moment You Can't Get Out Of,U2,61
Emotion,Destiny's Child,57
Fade,Staind,40
Fallin',Alicia Keys,72
Turn Off The Light,Nelly Furtado,53
Wish You Were Here,Incubus,63
My Sweet Lord,George Harrison,74
With Me,Lonestar,12
"Girls, Girls, Girls",JAY Z,28
Love of a Woman,Travis Tritt,43
Dance with Me,112,58
Love Of My Life,Brian McKnight,45
I'm A Survivor,Reba McEntire,45
What Am I Gonna Do,Tyrese,45
Lifetime,Maxwell,47
I'm a Slave 4 U,Britney Spears,63
You Rock My World,Michael Jackson,62
God Bless The USA,Lee Greenwood,27
Everywhere,Michelle Branch,65
Ugly,Bubba Sparxxx,36
Star Spangled Banner,Pop R&B Divas,0
Never Too Far/Hero Medley,Done Again,0
AM To PM,Christina Milian,52
Smooth Criminal,Alien Ant Farm,71
Where I Come From,Alan Jackson,52
God Bless America,Daniel Rodriguez,1
Raise Up,Petey Pablo,52
Angry All The Time,Tim McGraw,33
Feelin' On Yo Booty,R. Kelly,41
Who We Be,DMX,53
Hit 'Em up Style (Oops!),Blu Cantrell,53
Crawling,Linkin Park,72
Freedom,Paul McCartney,20
Fat Lip,Sum 41,71
Be Like That,3 Doors Down,57
I Would've Loved You Anyway,Trisha Yearwood,29
Angels In Waiting,Tammy Cochran,26
Fill Me In,Craig David,55
Izzo (H.O.V.A.),Various Artists,7
On a Night Like This,Trick Pony,30
Take You Out,Luther Vandross,30
Bad Day,Fuel,35
Only In America,Brooks & Dunn,49
I'm a Thug,Trick Daddy,56
I'm A Believer,Smash Mouth,64
U Remind Me,Usher,71
Set It Off,Juvenile,21
When God-Fearin' Women Get The Blues,Martina McBride,30
Drive,Incubus,70
Just in Case,Jaheim,49
Someone To Call My Lover,Janet Jackson,41
Schism,TOOL,72
Clint Eastwood,Gorillaz,72
Flavor Of The Weak,American Hi-Fi,60
I'm Just Talkin' About Tonight,Toby Keith,43
Where The Blacktop Ends,Keith Urban,44
The Space Between,Dave Matthews Band,46
All or Nothing,O-Town,61
Follow Me,Uncle Kracker,71
Here's to the Night,Eve 6,55
When I Think About Angels,Jamie O'Neal,36
Start The Commotion,The Wiseguys,29
I Wanna Be Bad,Willa Ford,46
Because I Got High,Afroman,65
What I Really Meant To Say,Cyndi Thomson,33
Six-Pack Summer,Phil Vassar,44
Bootylicious,Destiny's Child,61
Austin,Blake Shelton,61
Thank You,Dido,67
There You'll Be,Faith Hill,57
More Than That,Backstreet Boys,55
What Would You Do?,City High,49
Irresistible,Jessica Simpson,33
Purple Hills,D12,29
Downtime,Jo Dee Messina,16
This Is Me,Dream,35
Sandstorm,Darude,68
Laredo,Chris Cagle,45
She's All I Got,The Karaoke Channel,0
The Rock Show,blink-182,66
I'm Already There,Lonestar,59
While You Loved Me,Stagecoach Spurs,1
Mad Season,Matchbox Twenty,43
Ghetto Girls,Bow Wow,15
Pop,*NSYNC,54
I Could Not Ask for More,Sara Evans,48
Why They Call It Falling,Lee Ann Womack,13
Don't Mess With The Radio,Nivea,16
Angel,Lionel Richie,39
She Couldn't Change Me,Montgomery Gentry,40
Two People Fell in Love,Brad Paisley,39
Play,Jennifer Lopez,51
Right Where I Need To Be,Gary Allan,56
La Bomba,Azul Azul,58
When Somebody Loves You,Alan Jackson,40
There She Goes,Babyface,36
My Baby,Lil' Romeo,31
I'm Like A Bird,Nelly Furtado,70
All For You,Janet Jackson,61
Grown Men Don't Cry,Tim McGraw,42
I Like Them Girls,Tyrese,32
If You Can Do Anything Else,George Strait,23
If You're Gone,Matchbox Twenty,63
I Hope You Dance,Lee Ann Womack,47
Survivor,Destiny's Child,69
Midwest Swing,St. Lunatics,38
Maybe I Deserve,Tank,24
My Way,Limp Bizkit,67
