song_name,cleaned_artists,popularity
changes,XXXTENTACION,82
Level Up,Ciara,69
Taking A Walk,Trippie Redd,74
Don't Go Breaking My Heart,Backstreet Boys,60
Mob Ties,Drake,73
This Is America,Childish Gambino,75
In My Blood,Shawn Mendes,81
sweetener,Ariana Grande,71
everytime,Ariana Grande,70
R.E.M,Ariana Grande,70
Kiss Somebody,Morgan Evans,59
goodnight n go,Ariana Grande,70
Growing Pains,Alessia Cara,59
pete davidson,Ariana Grande,67
Be Careful,Cardi B,71
STOP TRYING TO BE GOD,Travis Scott,69
CAN'T SAY,Travis Scott,74
WAKE UP,Travis Scott,76
R.I.P. SCREW,Travis Scott,68
NO BYSTANDERS,Travis Scott,70
CAROUSEL,Travis Scott,67
Album of the Year - Freestyle,J. Cole,62
5% TINT,Travis Scott,68
Have It All,Jason Mraz,66
Nevermind,Dennis Lloyd,79
NC-17,Travis Scott,66
WHO? WHAT!,Travis Scott,66
SKELETONS,Travis Scott,67
ASTROTHUNDER,Travis Scott,69
BUTTERFLY EFFECT,Travis Scott,78
HOUSTONFORNICATION,Travis Scott,69
COFFEE BEAN,Travis Scott,66
I Was Jack (You Were Diane),Jake Owen,68
Whatever It Takes,Imagine Dragons,80
Sober,Demi Lovato,74
Sit Next to Me,Foster The People,72
One Number Away,Luke Combs,74
Call Out My Name,The Weeknd,80
All Mine,Kanye West,72
Karma,Queen Naija,67
X,"['Nicky Jam', 'J Balvin']",78
I Might Need Security,Chance the Rapper,64
you should see me in a crown,Billie Eilish,83
Emotionless,Drake,66
Can’t Take A Joke,Drake,68
Elevate,Drake,66
Blue Tint,Drake,66
Zombie,Bad Wolves,71
8 Out Of 10,Drake,64
31 DAYS,Future,54
WIFI LIT,Future,56
Jocelyn Flores,XXXTENTACION,83
Sandra’s Rose,Drake,63
Summer Games,Drake,64
Jaded,Drake,68
That’s How You Feel,Drake,65
Survival,Drake,63
CUDDLE MY WRIST,Future,53
RACKS BLUE,Future,52
Finesse,Drake,66
Drug Addicts,Lil Pump,61
KOD,J. Cole,73
Peak,Drake,63
Legends,Juice WRLD,74
Is There More,Drake,62
Ratchet Happy Birthday,Drake,61
Final Fantasy,Drake,62
March 14,Drake,60
Esskeetit,Lil Pump,68
Everybody Dies In Their Nightmares,XXXTENTACION,80
Yikes,Kanye West,68
Downtown's Dead,Sam Hunt,61
JAPAN,Famous Dex,75
the remedy for a broken heart (why am I so in love),XXXTENTACION,77
I Lived It,Blake Shelton,62
Plug Walk,Rich The Kid,76
Heaven,Kane Brown,76
New Rules,Dua Lipa,81
Wait,Maroon 5,64
Dura,Daddy Yankee,75
Say Amen (Saturday Night),Panic! At The Disco,70
Hope,XXXTENTACION,77
FAKE LOVE,BTS,73
NUMB,XXXTENTACION,73
Powerglide,2018 DJ Grime,0
Overdose,YoungBoy Never Broke Again,61
"Woman, Amen",Dierks Bentley,66
BOSS,The Carters,53
DDU-DU DDU-DU,BLACKPINK,75
IDGAF,Dua Lipa,81
SUMMER,The Carters,50
Reborn,KIDS SEE GHOSTS,72
NICE,The Carters,52
